dopler47

116.9,18.8,92.1
132.6,-22.7,82.9
138.3,-3.4,91.5
106.8,32.6,105.3
123.9,47.2,71.7
120.5,-4.1,75.3
139.3,-3.5,74.2
101.9,18,67.2
88.7,17.3,79.5
59.2,60.4,84.3
83.8,291,84.4
84.9,77.5,90
117.9,-2.2,70.5
138.2,-3.6,57.3
131.1,-3.9,48.5
132,19.4,66
132.6,19.7,88.8
131.5,17.6,65.1
123.6,21.6,65.2
105.3,18.6,56.9
133.6,-1.4,59.2
139.8,-4.3,79.5
132.2,-3.7,71.7
141.1,-3.8,64.2
146.7,-6.5,89.6
126.8,-24.6,89.3
156.7,-2.8,70.1
107.4,-28.1,91
121.4,104,70.1
113.1,-30.8,80
105.5,-3.6,56.2
118.5,12.6,72.9
146.5,-4,67.4
108,49.7,67.6
147.5,745.9,86.7
115.6,-3.3,51.8
99.9,20.1,84.2
154.7,95.3,86.1
127,-26,69.2
136,-16.2,97.5
136,-1.4,67.1
124.4,27.8,72.3
142,57.6,88.9
101.6,38.8,98.2
101.1,19.8,84.2
122.7,-29.5,77.4
130.7,-1.1,76.1
108.8,18.7,77.4
95,-1.5,84.4
137.8,-4.2,90.9
