infinity

85.3,165.6,70.3,178.3,78.9,54.3,102.1,191.5,87.3,94.5,71.6,258.7,71.5,390.9,63.6
93.7,81.6,64,130,90.2,308.5,71.7,128.9,70.8,129.6,62.7,496,70.6,101.6,62.8
84.3,121.4,71.5,222.9,81,42.1,87.8,131.6,72.2,170.5,81.4,426.5,71.1,95.8,62.6
69.1,116.8,63,222.7,63.2,46.7,79.8,219.5,62.6,296.1,62.5,135.4,63.1,117.9,62
70.4,130.3,62,170.1,79.6,69.7,69.8,217,63.2,121.5,64,300.9,56.4,108.5,64.3
68.1,113.1,62.2,103.2,70.4,93.3,71.1,248.4,53.5,235.8,70.5,89.6,78.4,134.8,72.3
63.5,108.8,70.8,328.6,55,160.4,63.7,314.5,63.4,104.3,64.4,145.4,70.1,121.9,70.3
99.6,92.7,77.4,316.9,69.7,95.8,71.7,273.6,54.4,164.6,70.9,125.4,79.3,138.5,71.8
75.5,131.1,79.7,239.4,72.1,60.5,68.4,162.1,71.1,96.5,63.8,432,81.8,125.1,62.5
67.7,185.1,62,595.5,79.9,115.4,79.6,269,69.5,277.2,79,270.9,99.9,125.8,80.2
